reward_id,transaction_id,description,plu_amount,transaction_date,available,reason,created_at,updated_at,rebate_rate,fiat_amount_rewarded,currency,reference_type,reward_type,amount,plu_price,transaction_amount
a299489c-ce6e-40ba-a6d7-026a90e4a510,3e02ef10-9f41-4fd5-9dd1-5b03c455bd96,CURVE SUBSCRIPTION,2.26244343,2024-03-23,False,nan,2024-03-25 06:43:56.024000+00:00,2024-03-25 06:43:56.024000+00:00,0,1000.0,GBP,perk_830246_reward,DAILY_REBATE_DISTRIBUTION,-1799.0,442.00000174148005,17.99
3c2fe1f5-c9e1-46e1-941f-00f120abf2d2,fda003db-154a-47e6-8d24-21ab43317814,CRV*PIZZA HUT AIPC HIG,0.30455426,2024-03-17,False,nan,2024-03-19 06:20:47.865000+00:00,2024-03-19 06:20:47.865000+00:00,5,3143.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-3143.0,516.0000060416163,31.43
bcc75323-94e8-472b-9feb-d09f89405b7c,030b3eba-0aaf-4b33-861f-a2c93109e204,CRV*SN Gat Airport SST,0.14793814,2024-03-17,False,nan,2024-03-19 06:20:47.630000+00:00,2024-03-19 06:20:47.630000+00:00,5,1435.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-1435.0,485.0000141951224,14.35
a01090ad-174c-49ef-9a0e-4b87e5badbdd,32f63642-f1c7-4af7-8753-5deb8ee8dd7d,CRV*M S SIMPLY FOOD SS,0.07535641,2024-03-17,False,nan,2024-03-19 06:20:47.462000+00:00,2024-03-19 06:20:47.462000+00:00,5,740.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-740.0,491.00003569702966,7.4
245ca1ed-8af6-4a4c-9a15-62acdf260f29,15996a4b-87c6-47c6-b855-419b477a1c87,CRV*adidas UK Limited,0.57915057,2024-03-17,False,nan,2024-03-19 06:20:47.065000+00:00,2024-03-19 06:20:47.065000+00:00,5,6000.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-6000.0,518.0000081844001,60.0
d4cc0241-a562-41fd-8367-d52f100efa3a,b134a25f-1bf8-43f1-93a8-6eafd99b0322,CRV*adidas UK Limited,0.78431372,2024-03-16,False,nan,2024-03-18 06:36:06.099000+00:00,2024-03-18 06:36:06.099000+00:00,5,8000.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-8000.0,510.00000357000005,80.0
ee78761c-4cc0-4cc6-9bbc-3f403216018d,00c97d95-8beb-434a-9c92-6aa6ef157e47,CRV*adidas UK Limited,0.58823529,2024-03-16,False,nan,2024-03-18 06:36:05.901000+00:00,2024-03-18 06:36:05.901000+00:00,5,6000.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-6000.0,510.00000357000005,60.0
f77b3ba4-b1cc-458e-af11-8b3540401064,990fd461-fa42-4638-ad1d-3031c85ca630,CRV*StockX Marketplace NL,1.31990196,2024-03-16,False,nan,2024-03-18 06:36:05.113000+00:00,2024-03-18 06:36:05.113000+00:00,5,13463.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-13463.0,510.00000030305284,134.63
dc6ba7f9-e221-4120-b9ed-5b95b5552d05,9df7632f-2b19-44d8-95c5-1c5d033cf46f,CRV*PAYPAL *MOONFLASH,0.65647058,2024-03-16,False,nan,2024-03-18 06:36:04.643000+00:00,2024-03-18 06:36:04.643000+00:00,5,6695.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-6696.0,510.00000639784946,66.96
41512a8f-c016-46f0-aff9-ec1fba799708,75a32f75-5ce6-4540-b5cb-852cc89e860d,CRV*EXPERIAN UK NOTTIN,0.1806024,2024-03-05,False,nan,2024-03-07 13:07:46.829000+00:00,2024-03-07 13:07:46.829000+00:00,5,1499.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-1499.0,415.00002214809996,14.99
88a09363-f0dd-4757-acea-ea292ae17889,eb070ecb-bb94-49bb-8fe7-237e0dfceb28,CRV*Boohoo.com UK Ltd,0.27918781,2024-03-05,False,nan,2024-03-07 13:07:46.477000+00:00,2024-03-07 13:07:46.477000+00:00,5,2200.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-2200.0,394.0000102440003,22.0
4fde9550-5069-489a-a6a9-d4a20a6f5017,c19a71b1-9afb-49ac-bc58-21cdb2d582bf,CRV*Boohoo.com UK Ltd,0.00966183,2024-03-04,False,nan,2024-03-06 12:58:48.482000+00:00,2024-03-06 12:58:48.482000+00:00,5,80.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-80.0,414.0002463301466,0.8
f39680ff-5c74-4747-af59-8bd201b6f0b3,75173786-8175-4138-a531-b856fa30dc38,CRV*RENDERCOM 14158304,0.05640096,2024-03-04,False,nan,2024-03-06 12:58:48.314000+00:00,2024-03-06 12:58:48.314000+00:00,5,467.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-467.0,414.00004538929835,4.67
b7f366cb-af3d-4b22-9089-95a7c8ce2cfc,5dc28c7e-670b-437f-843d-2b5a7e86d1b8,CRV*NANDOSCOUK 4420839,0.16343825,2024-03-04,False,nan,2024-03-06 12:58:47.996000+00:00,2024-03-06 12:58:47.996000+00:00,5,1350.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-1350.0,413.0000168259266,13.5
87777b25-a86e-4f86-b0f1-8e0902371002,48e15e6a-c91b-4835-b1f2-d167b22b24a0,CRV*ckmNord VPNcom GBR,0.79714285,2024-03-02,False,nan,2024-03-04 13:34:04.493000+00:00,2024-03-04 13:34:04.493000+00:00,5,6695.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-6696.0,420.0000037634409,66.96
32079547-36f4-4fd1-a36b-9a0429a90a92,d0adb2be-94ef-43c5-b35a-816b52210ece,CRV*BRITISH A 35314369,0.3699284,2024-03-01,False,nan,2024-03-04 13:30:59.068000+00:00,2024-03-04 13:30:59.068000+00:00,5,3100.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-3100.0,419.00000108129035,31.0
a3abaa2d-e34e-417b-a1e1-af6cbb377ce6,78a387d8-0ce2-4114-901c-9b6981d23038,CRV*Nike GBP,0.00083333,2024-03-01,False,nan,2024-03-03 13:46:26.868000+00:00,2024-03-03 13:46:26.868000+00:00,5,7.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-7.0,420.0016800067201,0.07
78cda715-e5e9-4389-95f2-7900aacb12ea,87929d4c-ca86-4f37-b3d6-9f3c2683fa2c,CRV*STEVENAGE BOROUGH,0.0297619,2024-03-01,False,nan,2024-03-03 13:46:26.584000+00:00,2024-03-03 13:46:26.584000+00:00,5,250.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-250.0,420.00006720001073,2.5
6d25d029-0f40-401c-916b-fa61a6d12de6,7702eccc-d88b-4d7f-939c-900a85ae713b,CRV*Collection PotUnit,0.13189448,2024-02-28,False,nan,2024-03-01 12:55:37.863000+00:00,2024-03-01 12:55:37.863000+00:00,5,1100.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-1100.0,417.0000139505459,11.0
bc2f74c9-a712-4339-9bd8-ffbefb7e41d5,474c35b8-6e8b-4180-af45-73016a4136c8,"CRV*Yum baoFlat 16, We",0.10191846,2024-02-28,False,nan,2024-03-01 12:55:37.689000+00:00,2024-03-01 12:55:37.689000+00:00,5,850.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-850.0,417.00002138964817,8.5
50ab854b-89b2-42af-aab2-55006ceca992,a9753f41-2851-4ee3-979e-a27813573bdd,CRV*MCDONALDSWATFORD G,2.25721153,2024-02-28,False,nan,2024-03-01 12:55:37.428000+00:00,2024-03-01 12:55:37.428000+00:00,0,939.0,GBP,perk_481603_reward,DAILY_REBATE_DISTRIBUTION,-939.0,416.0000015594462,9.39
912884ad-7d2b-4231-9719-5ad44d33f176,56df8fd8-5d9a-4029-bb16-878b162591c4,CRV*Amazoncouk60 Holbo,0.10805288,2024-02-28,False,nan,2024-03-01 12:55:37.337000+00:00,2024-03-01 12:55:37.337000+00:00,5,899.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-899.0,416.00001776907754,8.99
4b5e4247-0c08-4ce4-a1a9-ba0fcfb8baf6,5461dbba-964a-479c-aa9f-4eec5d1451ec,CRV*AMAZONCOUK5 Rue Pl,1.47115384,2024-02-28,False,nan,2024-03-01 12:55:37.072000+00:00,2024-03-01 12:55:37.072000+00:00,0,612.0,GBP,perk_361064_reward,DAILY_REBATE_DISTRIBUTION,-899.0,416.00000174013076,8.99
91a15e3e-64bb-4401-ac2e-ce038adf8f25,2275bf4a-a80e-4094-ac61-619b7fd9f760,CRV*AMZNMKTPLACE1 PRIN,0.9326923,2024-02-28,False,nan,2024-03-01 12:55:36.906000+00:00,2024-03-01 12:55:36.906000+00:00,0,388.0,GBP,perk_361064_reward,DAILY_REBATE_DISTRIBUTION,-388.0,416.00000343092785,3.88
585d11f5-79a3-4e45-876a-a579c725db59,16a5c765-b430-4c5f-8275-ea59702b20c0,CRV*eBay O*22 11236 59,2.40963855,2024-02-28,False,nan,2024-03-01 12:55:36.253000+00:00,2024-03-01 12:55:36.253000+00:00,0,1000.0,GBP,perk_8_reward,DAILY_REBATE_DISTRIBUTION,-37922.0,415.00000072625,379.22
6e9fd0e4-b79f-4709-92c5-78a02dc9ed5b,acd05f00-fc64-4fd8-844c-61ce01a98f54,CRV*Spotify P28D9A672F,2.84090909,2024-02-24,False,nan,2024-02-27 12:14:42.393000+00:00,2024-02-27 12:14:42.393000+00:00,0,1000.0,GBP,perk_2_reward,DAILY_REBATE_DISTRIBUTION,-1799.0,352.00000011264,17.99
62b73065-bc27-4af4-8ab3-c447fc25e6c2,1ddabdd2-4f02-4d12-9676-623f80dc0ca4,CRV*eBay O*22 11059 84,2.84090909,2024-02-24,False,nan,2024-02-27 12:09:49.804000+00:00,2024-02-27 12:09:49.804000+00:00,0,1000.0,GBP,perk_8_reward,DAILY_REBATE_DISTRIBUTION,-1846.0,352.00000011264,18.46
f0b301d7-095f-44ba-abb3-0c5a1f35d997,ee846995-264e-4625-bdd4-3dae4193b057,CURVE SUBSCRIPTION,2.87356321,2024-02-23,False,nan,2024-02-25 12:40:26.087000+00:00,2024-02-25 12:40:26.087000+00:00,0,1000.0,GBP,perk_830246_reward,DAILY_REBATE_DISTRIBUTION,-1799.0,348.00000101616,17.99
1c13cf12-4939-4eac-8fdb-fb69e1f621f7,f54070a0-0614-4c87-b8f7-d9a7c691cba1,CRV*OFFICE,2.80898876,2024-02-17,False,nan,2024-02-19 12:47:44.431000+00:00,2024-02-19 12:47:44.431000+00:00,5,20000.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-20000.0,356.00000051264,200.0
86a4934e-6dc0-4e3e-8332-5fe3ef5a9484,eb6b24b8-9556-4dc4-b3b1-e27748c540c3,CRV*Nike GBP\Unit 9.0.3/4,0.15279329,2024-02-17,False,nan,2024-02-19 12:47:44.264000+00:00,2024-02-19 12:47:44.264000+00:00,5,1094.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-1094.0,358.0000142676422,10.94
c3c244ec-59c7-43c6-9356-7413cc4dbfb2,8d56c862-7579-4886-825f-eefcc6a72df7,CRV*HOME BARGAINS STEV,0.11991525,2024-02-17,False,nan,2024-02-19 12:47:44.099000+00:00,2024-02-19 12:47:44.099000+00:00,5,849.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-849.0,354.0000125088344,8.49
b1742792-884b-458b-9356-fa2c301eb631,9e11bc47-5010-4071-ad74-f17b1235efe1,CRV*Riu Hotels and Res,31.63499999,2024-02-17,False,nan,2024-02-19 12:47:43.798000+00:00,2024-02-19 12:47:43.798000+00:00,5,227771.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-227772.0,360.00000011379797,2277.72
8f2dfc17-08cd-4da5-ab6d-444706050656,5384a754-fb87-4a16-b07b-213acf1fc202,Size?,2.92194805,2024-02-13,False,nan,2024-02-18 12:55:48.127000+00:00,2024-02-18 12:55:48.127000+00:00,5,22499.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-22499.0,385.00000025667805,224.99
b165d6d0-3a9d-49f9-b473-81c2a01fa99b,f3143747-b32e-4f81-b6f3-11627b29a1d5,CRV*APPLECOMBILL APPLE,0.27176781,2024-02-15,False,nan,2024-02-17 13:05:54.951000+00:00,2024-02-17 13:05:54.951000+00:00,0,102.0,GBP,perk_6_reward,DAILY_REBATE_DISTRIBUTION,-299.0,375.32038838595344,2.99
f68688b9-6e4c-4cad-a333-44cb17f90415,0630891e-f02f-4328-8d7c-8d93c15a7c6d,CRV*Costco Wholesale 1,0.02625329,2024-02-11,False,nan,2024-02-13 13:06:37.620000+00:00,2024-02-13 13:06:37.620000+00:00,5,199.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-199.0,379.00011769953403,1.99
d6bc733a-352f-45de-a207-29c86a8969d6,a6ca71ee-82f2-4221-a6e4-0cb85406ec9f,CRV*Costco Wholesale 1,0.09221635,2024-02-11,False,nan,2024-02-13 13:06:37.435000+00:00,2024-02-13 13:06:37.435000+00:00,5,699.0,GBP,fiat_transactions,DAILY_REBATE_DISTRIBUTION,-699.0,379.0000363276144,6.99
